route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
G2,S2303-AMD-Weekday-57,3948754-S2303-AMD-Weekday-57,"E Longmeadow Big Y via Belmont",1,418884,G20911,1,1
G2,S2303-AMD-Weekday-57,3948755-S2303-AMD-Weekday-57,"Belmont/Dwight Rd/E Long Ind Park",1,418863,G20923,1,1
G2,S2303-AMD-Weekday-57,3948756-S2303-AMD-Weekday-57,"E Longmeadow Big Y via Belmont",1,418886,G20911,1,1
G2,S2303-AMD-Weekday-57,3948757-S2303-AMD-Weekday-57,"E Longmeadow Big Y via Belmont",1,418957,G20911,1,1
G2,S2303-AMD-Weekday-57,3948758-S2303-AMD-Weekday-57,"E Springfield to Cottage St via Union Station",0,418886,G20909,1,1
G2,S2303-AMD-Weekday-57,3948759-S2303-AMD-Weekday-57,"E Springfield/Mercy Hospital via Union Station",0,418957,G20915,1,1
G2,S2303-AMD-Weekday-57,3948760-S2303-AMD-Weekday-57,"E Springfield to Cottage St via Union Station",0,418940,G20909,1,1
G2,S2303-AMD-Weekday-57,3948761-S2303-AMD-Weekday-57,"E Springfield/Mercy Hospital via Union Station",0,418884,G20920,1,1
G2,S2303-AMD-Weekday-57,3948762-S2303-AMD-Weekday-57,"E Springfield to Cottage St via Union Station",0,418863,G20909,1,1
G2,S2303-AMD-Weekday-57,3948763-S2303-AMD-Weekday-57,"E Springfield/Mercy Hospital via Union Station",0,418886,G20920,1,1
G2,S2303-AMD-Weekday-57,3948764-S2303-AMD-Weekday-57,"E Springfield to Cottage St via Union Station",0,418957,G20909,1,1
G2,S2303-AMD-Weekday-57,3948765-S2303-AMD-Weekday-57,"E Springfield/Mercy Hospital via Union Station",0,418940,G20920,1,1
G2,S2303-AMD-Weekday-57,3948766-S2303-AMD-Weekday-57,"Union Station",0,418884,G20909,1,1
G2,S2303-AMD-Weekday-57,3948767-S2303-AMD-Weekday-57,"E Springfield via Union Station",0,418863,G20924,1,1
G2,S2303-AMD-Weekday-57,3948768-S2303-AMD-Weekday-57,"E Springfield via Union Station",0,418957,G20909,1,1
G2,S2303-AMD-Weekday-57,3948769-S2303-AMD-Weekday-57,"Dwight Rd/Benton Dr via Belmont",1,418863,G20918,1,1
G2,S2303-AMD-Weekday-57,3948770-S2303-AMD-Weekday-57,"Dwight Rd. via Mercy Hospital and Union Station",1,418863,G20912,1,1
G2,S2303-AMD-Weekday-57,3948771-S2303-AMD-Weekday-57,"E Longmeadow Big Y via Belmont",1,418884,G20911,1,1
G2,S2303-AMD-Weekday-57,3948772-S2303-AMD-Weekday-57,"E Springfield to Cottage St via Union Station",0,418870,G20909,1,1
G2,S2303-AMD-Weekday-57,3948773-S2303-AMD-Weekday-57,"E Springfield/Mercy Hospital via Union Station",0,418940,G20920,1,1
G2,S2303-AMD-Weekday-57,3948774-S2303-AMD-Weekday-57,"E Springfield/Mercy Hospital via Union Station",0,418863,G20920,1,1
G2,S2303-AMD-Weekday-57,3948775-S2303-AMD-Weekday-57,"E Springfield to Cottage St via Union Station",0,418884,G20909,1,1
G2,S2303-AMD-Weekday-57,3948776-S2303-AMD-Weekday-57,"Dwight Rd/Benton Dr via Belmont",1,418940,G20918,1,1
G2,S2303-AMD-Weekday-57,3948777-S2303-AMD-Weekday-57,"Union Station",0,418863,G20909,1,1
G2,S2303-AMD-Weekday-57,3948778-S2303-AMD-Weekday-57,"E Longmeadow Big Y via Belmont",1,418863,G20911,1,1
R10,S2303-AMD-Weekday-57,3948779-S2303-AMD-Weekday-57,"Westfield Center via Union St",1,418862,R101497,1,1
R10,S2303-AMD-Weekday-57,3948780-S2303-AMD-Weekday-57,"Union Station Springfield",0,418862,R101542,1,1
R10,S2303-AMD-Weekday-57,3948781-S2303-AMD-Weekday-57,"Westfield State University",1,418862,R101491,1,1
R10,S2303-AMD-Weekday-57,3948782-S2303-AMD-Weekday-57,"Union Station Springfield",0,418862,R101538,1,1
R10,S2303-AMD-Weekday-57,3948783-S2303-AMD-Weekday-57,"Westfield State University",1,418862,R101491,1,1
R10,S2303-AMD-Weekday-57,3948784-S2303-AMD-Weekday-57,"Union Station Springfield",0,418862,R101545,1,1
R10,S2303-AMD-Weekday-57,3948785-S2303-AMD-Weekday-57,"Westfield State University",1,418883,R101495,1,1
R10,S2303-AMD-Weekday-57,3948786-S2303-AMD-Weekday-57,"Union Station Springfield",0,418867,R101542,1,1
R10,S2303-AMD-Weekday-57,3948787-S2303-AMD-Weekday-57,"Westfield State University",1,418883,R101491,1,1
R10,S2303-AMD-Weekday-57,3948788-S2303-AMD-Weekday-57,"Union Station Springfield via Union St",0,418883,R101544,1,1
R10,S2303-AMD-Weekday-57,3948789-S2303-AMD-Weekday-57,"Westfield Center",1,418867,R101494,1,1
R10,S2303-AMD-Weekday-57,3948790-S2303-AMD-Weekday-57,"Union Station Springfield via Union St",0,418883,R101539,1,1
R10,S2303-AMD-Weekday-57,3948791-S2303-AMD-Weekday-57,"Westfield State University",1,418883,R101495,1,1
R10,S2303-AMD-Weekday-57,3948792-S2303-AMD-Weekday-57,"Union Station Springfield",0,418883,R101545,1,1
R10,S2303-AMD-Weekday-57,3948793-S2303-AMD-Weekday-57,"Union Station Springfield",0,418877,R101542,1,1
R10,S2303-AMD-Weekday-57,3948794-S2303-AMD-Weekday-57,"Westfield Center",1,418877,R101494,1,1
R10,S2303-AMD-Weekday-57,3948795-S2303-AMD-Weekday-57,"Union Station Springfield",0,418877,R101543,1,1
R10,S2303-AMD-Weekday-57,3948796-S2303-AMD-Weekday-57,"Westfield Center",1,418877,R101494,1,1
R10,S2303-AMD-Weekday-57,3948797-S2303-AMD-Weekday-57,"Westfield State Univ via Union St",1,418883,R101492,1,1
R10,S2303-AMD-Weekday-57,3948798-S2303-AMD-Weekday-57,"Union Station Springfield",0,418883,R101545,1,1
R10,S2303-AMD-Weekday-57,3948799-S2303-AMD-Weekday-57,"Westfield State University",1,418883,R101500,1,1
R10,S2303-AMD-Weekday-57,3948800-S2303-AMD-Weekday-57,"Union Station Springfield via Union St",0,418883,R101539,1,1
R10,S2303-AMD-Weekday-57,3948801-S2303-AMD-Weekday-57,"Westfield State Univ via Union St",1,418942,R101492,1,1
R10,S2303-AMD-Weekday-57,3948802-S2303-AMD-Weekday-57,"Westfield State Univ via Union St",1,418942,R101492,1,1
R10,S2303-AMD-Weekday-57,3948803-S2303-AMD-Weekday-57,"Union Station Springfield via Union St",0,418942,R101539,1,1
R10,S2303-AMD-Weekday-57,3948804-S2303-AMD-Weekday-57,"Union Station Springfield",0,418942,R101545,1,1
R10,S2303-AMD-Weekday-57,3948805-S2303-AMD-Weekday-57,"Union Station Springfield",0,418942,R101540,1,1
R10,S2303-AMD-Weekday-57,3948806-S2303-AMD-Weekday-57,"Westfield State University",1,418942,R101495,1,1
R10,S2303-AMD-Weekday-57,3948807-S2303-AMD-Weekday-57,"Westfield State University",1,418942,R101495,1,1
