Operator,Model,Type,Year,Equipment ID
CTF (Cottage Street),NEW FLYER XD35,conventional,2022,1726
CTF (Cottage Street),NEW FLYER XD35,conventional,2022,1727
CTF (Cottage Street),NEW FLYER XD35,conventional,2022,1728
CTF (Cottage Street),NEW FLYER XD35,conventional,2022,1729
CTF (Cottage Street),NEW FLYER XD40,conventional,2022,1862
CTF (Cottage Street),NEW FLYER XD40,conventional,2022,1863
CTF (Cottage Street),NEW FLYER XD40,conventional,2022,1864
CTF (Cottage Street),Gillig 40,conventional,2007,3211
CTF (Cottage Street),NEW FLYER XD35,conventional,2011,3307
CTF (Cottage Street),NEW FLYER XD35,conventional,2011,3308
NTF (VATCo),Gillig 40,conventional,2007,7610
NTF (VATCo),Gillig 35,conventional,2008,7550
NTF (VATCo),Gillig 35,conventional,2008,7551
NTF (VATCo),Gillig 40,conventional,2009,7660
NTF (VATCo),Gillig 40,conventional,2009,7661
NTF (VATCo),Gillig 40,conventional,2009,7662
NTF (VATCo),Gillig 35,conventional,2010,7552
NTF (VATCo),NEW FLYER XD40,conventional,2011,7801
NTF (VATCo),NEW FLYER XD40,conventional,2011,7802
NTF (VATCo),NEW FLYER XD40,conventional,2012,7811
NTF (VATCo),NEW FLYER XD40,conventional,2012,7812
NTF (VATCo),NEW FLYER XD40,conventional,2012,7813
NTF (VATCo),NEW FLYER XD40,conventional,2012,7814
NTF (VATCo),NEW FLYER XD40,conventional,2012,7815
NTF (VATCo),NEW FLYER XDE60 (ARTIC),hybrid,2013,7901
NTF (VATCo),NEW FLYER XDE60 (ARTIC),hybrid,2013,7902
NTF (VATCo),NEW FLYER XD35,conventional,2020,7553
NTF (VATCo),NEW FLYER XD35,conventional,2020,7554
NTF (VATCo),NEW FLYER XD40,conventional,2021,7816
NTF (VATCo),NEW FLYER XE40,electric,2021,7700
NTF (VATCo),NEW FLYER XD40,conventional,2022,7817
UMTS,NEW FLYER XE40,electric,2021,3501
UMTS,Gillig 40,conventional,2006,3201
UMTS,Gillig 40,conventional,2006,3202
UMTS,Gillig 40,conventional,2006,3203
UMTS,Gillig 40,conventional,2006,3203
UMTS,Gillig 40,conventional,2006,3204
UMTS,Gillig 40,conventional,2006,3205
UMTS,Gillig 40,conventional,2007,3212
UMTS,Gillig 40,conventional,2007,3213
UMTS,Gillig 40,conventional,2007,3214
UMTS,Gillig 40,conventional,2007,3215
UMTS,Gillig 40,conventional,2008,3221
UMTS,Gillig 40,conventional,2008,3222
UMTS,Gillig 40,conventional,2008,3223
UMTS,Gillig 40,conventional,2008,3224
UMTS,Gillig 40,conventional,2008,3225
UMTS,Gillig 40,conventional,2009,3226
UMTS,Gillig 40,conventional,2009,3227
UMTS,Gillig 40,conventional,2009,3228
UMTS,Gillig 40,conventional,2011,3301
UMTS,Gillig 40,conventional,2011,3302
UMTS,Gillig 40,conventional,2011,3303
UMTS,Gillig 40,conventional,2011,3304
UMTS,Gillig 40,conventional,2011,3305
UMTS,Gillig 35,conventional,2011,3306
UMTS,Gillig 35,conventional,2011,3309
UMTS,Gillig 35,conventional,2011,3310
UMTS,Gillig 35,conventional,2014,3311
UMTS,Gillig 35,conventional,2014,3312
UMTS,Gillig 35,conventional,2014,3313
UMTS,Gillig 35,conventional,2014,3314
UMTS,Gillig 35,conventional,2014,3315
UMTS,Gillig 40,conventional,2020,3316
UMTS,Gillig 40,conventional,2020,3317
UMTS,Gillig 40,conventional,2020,3318
UMTS,Gillig 40,conventional,2020,3319
UMTS,Gillig 40,conventional,2020,3320
UMTS,NEW FLYER XD40,conventional,2021,3321
UMTS,NEW FLYER XD40,conventional,2021,3322
UMTS,NEW FLYER XD40,conventional,2021,3323
UMTS,NEW FLYER XD40,conventional,2022,3324
UMTS,NEW FLYER XD40,conventional,2022,3325
UMTS,NEW FLYER XD40,conventional,2022,3326
UMTS,NEW FLYER XDE60 (ARTIC),hybrid,2013,3401
UMTS,NEW FLYER XDE60 (ARTIC),hybrid,2013,3402
SATCO,PROTERRA CATALYST BE-40,electric,2016,1410
SATCO,PROTERRA CATALYST BE-40,electric,2016,1411
SATCO,PROTERRA CATALYST BE-40,electric,2016,1412
,Gillig 35,conventional,2010,5574
,Gillig 30 ,conventional,2016,1205
