stopid,lat,lon
419,42.20387,-72.61068
422,42.20394,-72.61727
423,42.20352,-72.61929
424,42.2035,-72.61669
425,42.20303,-72.64553
426,42.20313,-72.63101
427,42.20293,-72.64524
428,42.20315,-72.61903
430,42.20289,-72.61165
431,42.2028,-72.61231
432,42.2031,-72.57163
433,42.20265,-72.61494
435,42.2024,-72.61778
436,42.20215,-72.62125
437,42.20228,-72.61745
438,42.20241,-72.60466
439,42.20193,-72.61401
440,42.2022,-72.62089
441,42.20197,-72.63109
443,42.20165,-72.64345
444,42.20193,-72.61052
445,42.20207,-72.60482
446,42.20189,-72.61073
447,42.20167,-72.61332
448,42.20142,-72.623
449,42.20149,-72.61602
450,42.20139,-72.61603
451,42.20112,-72.64166
452,42.20136,-72.61317
453,42.2011,-72.61479
454,42.20166,-72.50898
455,42.20055,-72.61394
456,42.20037,-72.62868
457,42.20052,-72.60804
459,42.20036,-72.6155
460,42.20041,-72.60671
461,42.20016,-72.62587
462,42.20004,-72.60719
463,42.19969,-72.60645
464,42.19944,-72.6281
465,42.19915,-72.60586
466,42.19877,-72.61709
467,42.19926,-72.6287
468,42.19916,-72.63056
470,42.199,-72.64035
471,42.19903,-72.63201
472,42.19899,-72.63366
473,42.19913,-72.61532
474,42.19883,-72.6331
475,42.19901,-72.60797
476,42.19815,-72.63426
477,42.19835,-72.60475
478,42.19856,-72.60514
479,42.19812,-72.61632
481,42.19819,-72.60876
482,42.19776,-72.57367
483,42.19739,-72.60378
484,42.19737,-72.6036
485,42.19673,-72.61906
486,42.19714,-72.57427
488,42.19568,-72.62085
489,42.19531,-72.63406
490,42.19554,-72.62168
491,42.195154,-72.65278
493,42.19538,-72.61165
494,42.19483,-72.62592
495,42.19479,-72.62686
497,42.19474,-72.6242
499,42.19428,-72.64718
500,42.19386,-72.62993
501,42.19367,-72.60011
503,42.19312,-72.6367
504,42.19274,-72.62967
505,42.19212,-72.64834
506,42.19278,-72.57622
507,42.1927,-72.57592
508,42.19216,-72.61493
509,42.19118,-72.65246
510,42.19157,-72.6011
512,42.19095,-72.63999
513,42.19102,-72.62965
514,42.19036,-72.61752
516,42.19015,-72.61856
518,42.19015,-72.60273
519,42.18962,-72.64329
520,42.18922,-72.64979
521,42.18935,-72.62185
523,42.1893,-72.57758
524,42.1884,-72.60538
525,42.18778,-72.64763
527,42.18769,-72.62424
528,42.18715,-72.63004
529,42.18708,-72.63215
530,42.18706,-72.60763
531,42.18704,-72.57765
533,42.1863,-72.65057
534,42.18677,-72.57734
535,42.185244,-72.65006
537,42.18565,-72.57763
538,42.18479,-72.60981
539,42.18465,-72.61114
541,42.18382,-72.63689
542,42.18355,-72.648807
544,42.18345,-72.637
545,42.18374,-72.61052
546,42.18345,-72.63291
549,42.18276,-72.60993
550,42.18271,-72.61026
551,42.18167,-72.63854
552,42.18142,-72.61545
553,42.18129,-72.61577
554,42.180633,-72.648746
555,42.180412,-72.64863
556,42.18024,-72.63966
557,42.18001,-72.63967
558,42.17983,-72.61762
559,42.17971,-72.61291
560,42.18003,-72.61749
561,42.17844,-72.69061
562,42.17831,-72.69087
563,42.17898,-72.61338
564,42.17846,-72.63672
565,42.17843,-72.63987
566,42.17813,-72.6364
567,42.17819,-72.62971
568,42.17826,-72.61387
569,42.17795,-72.62016
572,42.17708,-72.62105
573,42.17651,-72.63025
574,42.1764,-72.60071
575,42.17594,-72.61453
576,42.17574,-72.61468
577,42.1758,-72.60049
578,42.1755,-72.62164
580,42.17476,-72.63663
581,42.17462,-72.63656
582,42.17471,-72.62208
583,42.17269,-72.64045
584,42.174004,-72.647828
585,42.17427,-72.57859
586,42.17419,-72.5995
587,42.17416,-72.59937
588,42.17441,-72.57533
590,42.17362,-72.63126
593,42.17456,-72.62206
594,42.17189,-72.63174
595,42.17225,-72.58648
596,42.17225,-72.61463
597,42.17199,-72.58657
598,42.17166,-72.62332
600,42.1707,-72.57723
603,42.17074,-72.62383
604,42.17113,-72.5774
605,42.17099,-72.61446
606,42.17067,-72.5968
608,42.16942,-72.59486
609,42.16926,-72.64057
610,42.16865,-72.62367
611,42.16803,-72.62368
612,42.16754,-72.59259
613,42.16797,-72.61506
614,42.16793,-72.61477
615,42.16785,-72.61616
616,42.16906,-72.48184
617,42.16774,-72.61665
618,42.16769,-72.61797
619,42.16762,-72.61798
620,42.16741,-72.62085
621,42.16725,-72.62175
623,42.16767,-72.5783
626,42.16591,-72.63359
628,42.1659,-72.59087
629,42.16585,-72.57944
630,42.16539,-72.58397
631,42.16501,-72.62126
632,42.16529,-72.59012
634,42.16483,-72.6209
635,42.16411,-72.5889
636,42.16396,-72.58891
637,42.16364,-72.64008
638,42.16355,-72.63996
639,42.16321,-72.61885
640,42.16215,-72.63318
641,42.16209,-72.61701
642,42.16215,-72.6169
643,42.16183,-72.63299
645,42.16171,-72.58191
646,42.16087,-72.61455
647,42.16085,-72.61473
648,42.16114,-72.58179
650,42.161,-72.58292
651,42.16086,-72.58273
653,42.1594,-72.63437
654,42.15931,-72.63451
656,42.15862,-72.6332
659,42.15968,-72.5026
661,42.15951,-72.5009
662,42.15942,-72.50095
663,42.15856,-72.58471
664,42.15856,-72.58059
665,42.15932,-72.49876
666,42.15847,-72.58463
667,42.15847,-72.58056
668,42.15919,-72.49847
669,42.15909,-72.50329
670,42.15919,-72.49696
673,42.15794,-72.58033
675,42.15854,-72.49461
676,42.15726,-72.61222
678,42.15778,-72.49135
679,42.15703,-72.58523
680,42.15783,-72.49193
681,42.15696,-72.58514
682,42.15739,-72.61205
683,42.15722,-72.50812
684,42.15715,-72.50879
685,42.15703,-72.50638
686,42.15698,-72.50631
687,42.15616,-72.58089
688,42.15699,-72.4898
689,42.15684,-72.50399
691,42.15691,-72.48992
692,42.15608,-72.58072
693,42.15675,-72.50402
694,42.15659,-72.51107
695,42.15747,-72.48106
696,42.15632,-72.51109
697,42.15538,-72.58547
698,42.15606,-72.48803
699,42.15599,-72.48817
701,42.15503,-72.51227
702,42.15414,-72.58049
703,42.15398,-72.5846
704,42.15449,-72.51299
705,42.1528,-72.631
706,42.15333,-72.58052
707,42.15263,-72.63071
708,42.1537,-72.51343
709,42.15283,-72.58035
711,42.15134,-72.63046
712,42.15179,-72.50635
713,42.15176,-72.50619
714,42.1507,-72.58541
715,42.15062,-72.58533
716,42.15091,-72.51606
719,42.15039,-72.50812
720,42.14954,-72.57999
722,42.15005,-72.51708
725,42.14919,-72.57984
726,42.14905,-72.58746
727,42.14885,-72.60686
728,42.14975,-72.50856
729,42.14849,-72.63073
730,42.14934,-72.51751
731,42.14844,-72.60888
732,42.14814,-72.63042
733,42.14821,-72.60346
735,42.14814,-72.59865
736,42.14881,-72.5182
737,42.1483,-72.60692
738,42.14809,-72.59478
739,42.14807,-72.59188
746,42.14683,-72.60724
747,42.14649,-72.60504
748,42.14699,-72.57965
749,42.14697,-72.57978
750,42.14743,-72.51924
751,42.14649,-72.62969
752,42.14648,-72.60517
753,42.14707,-72.51981
756,42.14563,-72.6089
757,42.14626,-72.52032
759,42.14519,-72.62918
761,42.14486,-72.60882
765,42.14519,-72.52154
766,42.14446,-72.6034
767,42.14671,-72.54376
768,42.14429,-72.60348
770,42.14376,-72.62851
771,42.14352,-72.62815
773,42.14364,-72.61012
774,42.14421,-72.54453
775,42.14368,-72.58037
776,42.14366,-72.5805
778,42.14363,-72.54362
779,42.14327,-72.60298
781,42.14353,-72.61002
784,42.14311,-72.53288
786,42.14305,-72.55403
788,42.14288,-72.55406
789,42.14241,-72.60271
790,42.14217,-72.58096
791,42.14244,-72.5236
792,42.14211,-72.55584
794,42.14206,-72.55564
795,42.14206,-72.54344
796,42.14192,-72.52362
797,42.14204,-72.49186
798,42.14095,-72.58146
799,42.14075,-72.60234
802,42.14113,-72.55771
803,42.14113,-72.54287
805,42.14045,-72.60214
806,42.14104,-72.48511
807,42.14022,-72.58195
811,42.14073,-72.49992
812,42.1401,-72.55971
814,42.13968,-72.60192
817,42.1396,-72.56038
818,42.13938,-72.60195
819,42.1389,-72.62642
823,42.14005,-72.5033
825,42.13962,-72.50551
826,42.13947,-72.52498
827,42.13836,-72.62592
